南京市 135099  42797-A 
杭州市 108487  31603-B 
杭州市 128931  37291-A 
杭州市 40897   12355-C 
杭州市 78426   24636-D 
杭州市 109602  34129-A 
杭州市 19574   5777-A  
杭州市 37173   11399-B 
杭州市 71693   22896-D 
杭州市 88368   27281-D 
杭州市 88700   27415-D 
杭州市 157126  48423-A 
杭州市 24103   6883-A  
杭州市 123826  38769-B 
杭州市 38861   12039-A 
杭州市 82240   25492-A 
杭州市 145996  46386-B 
杭州市 28904   8938-B  
杭州市 40095   12160-C 
杭州市 40096   12160-D 
杭州市 44190   13458-A 
杭州市 78743   24662-B 
杭州市 82366   25427-D 
杭州市 109525  32672-C 
杭州市 150031  47117-A 
杭州市 138882  44137-C 
杭州市 150676  47440-B 
杭州市 96365   28264-C 
杭州市 57535   17420-C 
杭州市 124967  39008-A 
杭州市 134329  42499-A 
杭州市 114176  34316-B 
杭州市 43920   13539-C 
杭州市 130089  40673-B 
杭州市 102014  30693-C 
杭州市 35706   10990-C 
杭州市 40075   12161-C 
杭州市 100958  31299-C 
杭州市 101237  31065-A 
杭州市 104617  32566-C 
杭州市 137351  43734-C 
杭州市 119849  36430-B 
杭州市 123791  38180-D 
杭州市 129033  40761-C 
杭州市 128681  39945-A 
杭州市 105421  32765-A 
杭州市 116939  36730-A 
杭州市 131713  41686-A 
杭州市 118824  36803-C 
杭州市 122211  36814-B 
杭州市 134668  42500-B 
杭州市 115343  35634-C 
杭州市 124863  39538-B 
杭州市 130610  40549-B 
杭州市 49293   9008-C  
杭州市 133071  42250-C 
杭州市 141692  45224-B 
杭州市 117780  36387-C 
杭州市 131435  41602-A 
杭州市 127335  40447-A 
杭州市 144083  45993-A 
杭州市 168483  51386-A 
杭州市 108915  34142-C 
杭州市 126122  33506-B 
杭州市 136416  43268-B 
杭州市 172057  52705-B 
杭州市 108441  32969-B 
杭州市 127336  40447-B 
杭州市 36942   11276-C 
杭州市 125723  39277-A 
杭州市 125724  39277-B 
杭州市 114389  34942-B 
杭州市 41184   12560-D 
杭州市 134120  42161-A 
杭州市 118823  36803-B 
杭州市 145817  44270-B 
杭州市 135635  43224-A 
杭州市 133107  42173-B 
杭州市 144713  44868-C 
杭州市 146986  46753-B 
杭州市 113676  34963-C 
杭州市 135547  43115-C 
杭州市 138734  43598-C 
杭州市 26666   8319-C  
杭州市 42133   12948-A 
杭州市 78742   24662-A 
杭州市 103053  32321-B 
杭州市 109306  31328-A 
杭州市 128864  40400-A 
杭州市 110259  34282-B 
杭州市 110322  34453-B 
杭州市 130802  41159-A 
杭州市 135636  43224-B 
杭州市 133959  42187-C 
杭州市 117992  36910-B 
杭州市 112291  34863-C 
杭州市 133958  42187-B 
杭州市 134150  42177-A 
杭州市 114388  34942-A 
杭州市 168487  51386-E 
杭州市 114161  35321-A 
杭州市 135612  43084-C 
杭州市 119025  37366-A 
杭州市 119203  37475-D 
杭州市 135333  43151-C 
杭州市 135546  43115-B 
杭州市 135910  43440-A 
杭州市 143317  45775-C 
杭州市 173330  53336-D 
杭州市 145038  45466-B 
杭州市 161639  48887-A 
杭州市 173859  53339-C 
杭州市 141467  43778-D 
杭州市 54128   16578-A 
杭州市 177016  53853-A 
杭州市 100267  30050-D 
杭州市 32920   9697-D  
杭州市 122724  38457-B 
杭州市 92368   28692-D 
杭州市 134921  42869-D 
杭州市 137832  43982-C 
杭州市 143288  45787-A 
杭州市 183204  56196-C 
杭州市 72446   22970-C 
杭州市 43491   13292-A 
杭州市 66905   21031-C 
杭州市 133957  42187-A 
杭州市 135728  43447-A 
杭州市 141652  45627-A 
杭州市 138391  44014-A 
杭州市 179851  55614-C 
杭州市 160833  49559-A 
杭州市 21288   6375-B  
杭州市 254912  78635-A 
杭州市 35863   8474-A  
杭州市 260602  80660-C 
杭州市 142042  45238-B 
杭州市 261816  80352-A 
杭州市 157328  47915-C 
杭州市 143119  45290-B 
杭州市 147290  46745-C 
杭州市 32155   9237-B  
杭州市 131857  38128-C 
杭州市 88589   27161-C 
杭州市 57536   17420-D 
杭州市 121328  37230-B 
杭州市 142096  44552-C 
杭州市 143078  45607-A 
杭州市 49292   9008-B  
杭州市 110551  34469-C 
杭州市 146549  43450-A 
杭州市 115403  32943-G 
杭州市 182240  56245-B 
杭州市 86056   26477-A 
杭州市 93009   28953-C 
杭州市 141299  45229-D 
杭州市 145247  45456-A 
杭州市 28546   8378-C  
杭州市 39024   11988-D 
杭州市 117395  36786-B 
杭州市 34808   10735-B 
杭州市 112360  35158-D 
杭州市 37412   11457-D 
杭州市 175537  53997-B 
杭州市 176287  53410-D 
杭州市 143315  45775-A 
杭州市 129284  38976-B 
杭州市 143339  44063-D 
杭州市 154567  48077-A 
杭州市 66162   21224-C 
杭州市 109254  34408-D 
杭州市 32156   9237-C  
杭州市 34236   7704-A  
杭州市 85592   26432-A 
杭州市 162394  50045-D 
杭州市 168295  51843-A 
杭州市 176631  54458-C 
杭州市 174001  45701-A 
杭州市 169929  48311-C 
杭州市 81304   24868-C 
杭州市 155545  48293-C 
杭州市 24994   7437-C  
杭州市 127861  37941-B 
杭州市 19569   5677-D  
深圳市 142168  43792-A 
深圳市 144734  44412-C 
深圳市 147208  45713-C 
深圳市 147209  45713-D 
深圳市 151693  45322-B 
深圳市 158213  47306-A 
深圳市 159950  45206-C 
深圳市 160088  45260-A 
深圳市 119458  36821-D 
深圳市 156466  46249-A 
深圳市 156471  46249-F 
深圳市 163888  50304-C 
深圳市 44438   13362-B 
深圳市 34214   9916-C  
深圳市 20652   6311-C  
深圳市 67294   20679-A 
深圳市 159140  38087-A 
深圳市 165920  50403-E 
深圳市 44768   13166-C 
深圳市 168959  51565-B 
深圳市 171645  52668-B 
深圳市 34903   10230-A 
深圳市 172280  52519-A 
深圳市 145256  42935-D 
深圳市 80527   23757-A 
深圳市 103275  32717-A 
深圳市 123778  39225-B 
深圳市 151262  45564-D 
深圳市 173995  52379-D 
深圳市 177802  54396-D 
深圳市 121964  38394-C 
深圳市 84606   26190-C 
深圳市 179785  55565-C 
深圳市 48198   14539-F 
深圳市 178430  55001-A 
深圳市 185977  56268-E 
深圳市 84180   26200-D 
深圳市 183149  56289-B 
深圳市 18787   5589-A  
深圳市 171868  52233-E 
深圳市 107342  34120-D 
深圳市 179580  54755-A 
深圳市 76094   22735-B 
深圳市 153759  46424-D 
深圳市 169328  51907-B 
深圳市 169330  51907-D 
深圳市 34648   10622-B 
深圳市 85590   26276-B 
深圳市 115801  36175-D 
深圳市 126435  40269-D 
深圳市 167968  49370-D 
深圳市 23461   7305-B  
深圳市 75694   22916-C 
深圳市 185103  57017-A 
深圳市 188937  56681-A 
深圳市 32051   9772-E  
深圳市 75361   23964-A 
深圳市 73609   21159-B 
深圳市 148866  44000-C 
深圳市 149683  46496-A 
深圳市 143003  43202-A 
深圳市 148263  44361-D 
深圳市 167609  51131-C 
深圳市 33495   10222-D 
深圳市 41827   12846-B 
深圳市 41624   12628-B 
深圳市 82203   25513-D 
深圳市 24404   7743-C  
深圳市 82204   25513-E 
深圳市 65639   20401-C 
深圳市 76093   22735-A 
深圳市 146482  46332-B 
深圳市 191933  59011-A 
深圳市 191935  59011-C 
深圳市 117358  36684-E 
深圳市 122714  38218-A 
深圳市 139592  42831-D 
深圳市 200873  61236-D 
深圳市 177256  53759-D 
深圳市 190775  57715-C 
深圳市 196651  58418-A 
深圳市 130094  41893-C 
深圳市 146958  44421-F 
深圳市 153756  46424-A 
深圳市 18650   5546-A  
深圳市 140043  42168-A 
深圳市 66068   20721-B 
深圳市 127491  40320-E 
深圳市 199826  61588-C 
深圳市 196954  60691-D 
深圳市 41626   12628-D 
深圳市 150035  45095-C 
深圳市 204375  63344-B 
深圳市 127418  39919-A 
深圳市 201466  53418-B 
深圳市 201467  53418-C 
深圳市 205269  61322-C 
深圳市 30352   9492-C  
深圳市 66070   20721-D 
深圳市 67595   20589-A 
深圳市 26677   8112-B  
深圳市 43172   12216-A 
深圳市 116711  36560-C 
深圳市 39484   11957-C 
深圳市 139146  42691-C 
深圳市 206906  63588-B 
深圳市 206908  63588-D 
深圳市 208820  64867-A 
深圳市 208822  64867-C 
深圳市 16445   4843-B  
深圳市 30902   9427-A  
深圳市 207152  63065-C 
深圳市 80899   24763-C 
深圳市 203726  63175-D 
深圳市 48448   14521-B 
深圳市 164408  50537-A 
深圳市 172858  53120-A 
深圳市 93651   29025-A 
深圳市 45444   13769-C 
深圳市 104286  32803-D 
深圳市 116857  36476-C 
深圳市 84444   26464-C 
深圳市 116388  36688-E 
深圳市 147788  46415-C 
深圳市 211948  65523-A 
深圳市 211949  65523-B 
深圳市 40235   12132-C 
深圳市 44286   13609-C 
深圳市 49760   15299-D 
深圳市 143061  41720-A 
深圳市 201400  61625-C 
深圳市 201401  61625-D 
深圳市 81179   25489-A 
深圳市 146428  44775-B 
深圳市 216386  66993-C 
深圳市 112233  35352-B 
深圳市 116703  37037-B 
深圳市 216658  65491-A 
深圳市 219436  68539-B 
深圳市 35006   10741-B 
深圳市 159749  47988-C 
深圳市 22951   6789-C  
深圳市 155238  42640-B 
深圳市 182527  55570-B 
深圳市 74782   23434-D 
深圳市 22273   6936-B  
深圳市 50087   15171-E 
深圳市 68443   21461-D 
深圳市 128180  40751-C 
深圳市 162641  49674-E 
深圳市 220985  68488-D 
深圳市 174041  53330-C 
深圳市 155607  46377-B 
深圳市 219351  67815-A 
深圳市 221939  68516-A 
深圳市 221941  68516-C 
深圳市 34650   10622-D 
深圳市 104539  32297-B 
深圳市 126433  40269-B 
深圳市 113842  35880-E 
深圳市 219726  67627-C 
深圳市 223851  69031-A 
深圳市 216459  66418-E 
深圳市 50422   15319-D 
深圳市 24990   7932-D  
深圳市 32029   9741-B  
深圳市 223963  69176-A 
深圳市 223967  69176-E 
深圳市 29879   9189-B  
深圳市 64857   20141-C 
深圳市 90077   27709-B 
深圳市 138915  42766-C 
深圳市 36106   8952-A  
深圳市 72949   21143-E 
深圳市 149686  46496-D 
深圳市 71102   22551-B 
深圳市 81180   25489-B 
深圳市 223927  69575-C 
深圳市 99891   31363-A 
深圳市 120298  38414-A 
深圳市 16693   4956-A  
深圳市 105811  33047-D 
深圳市 117355  36684-B 
深圳市 150489  46057-C 
深圳市 216558  66436-A 
深圳市 225433  68297-C 
深圳市 237166  73568-B 
深圳市 237807  73701-C 
深圳市 26679   8112-D  
深圳市 71046   22412-B 
深圳市 147027  44726-D 
深圳市 76035   23348-C 
深圳市 41379   12626-A 
深圳市 63151   18190-D 
深圳市 109082  32617-C 
深圳市 114147  26517-A 
深圳市 119064  36127-B 
深圳市 160055  47270-D 
深圳市 237169  72871-B 
深圳市 127361  37126-A 
深圳市 127363  37126-C 
深圳市 240782  74251-C 
深圳市 240941  72134-A 
深圳市 30080   9289-E  
深圳市 89203   27817-C 
深圳市 113231  35472-A 
深圳市 128808  40419-B 
深圳市 135907  37679-B 
深圳市 138263  42852-A 
深圳市 35460   10502-A 
深圳市 113982  35693-A 
深圳市 124217  38789-D 
深圳市 75711   22594-F 
深圳市 104274  31751-B 
深圳市 128809  40419-C 
深圳市 164352  46913-A 
深圳市 169657  51945-B 
深圳市 41336   12631-E 
深圳市 246039  76326-C 
深圳市 65575   20536-B 
深圳市 92483   28550-B 
深圳市 120224  32094-C 
深圳市 146362  44774-B 
深圳市 16211   4793-B  
深圳市 99007   28218-A 
深圳市 60166   18625-C 
深圳市 84352   26052-D 
深圳市 102230  32037-C 
深圳市 68442   21461-C 
深圳市 73612   22806-A 
深圳市 74651   21546-D 
深圳市 126760  39835-C 
深圳市 167307  50786-B 
深圳市 172192  52512-C 
深圳市 24403   7743-B  
深圳市 69026   21404-A 
深圳市 128064  40483-B 
深圳市 165917  50403-B 
深圳市 131245  41405-C 
深圳市 147783  46628-B 
深圳市 77645   24116-D 
深圳市 77988   24423-A 
深圳市 129675  40019-B 
深圳市 93027   28937-C 
深圳市 106663  33934-D 
深圳市 139537  43955-B 
深圳市 100850  31571-D 
深圳市 114631  31706-A 
深圳市 148025  46582-D 
深圳市 102287  31856-A 
深圳市 253015  78313-C 
深圳市 64588   20154-A 
深圳市 71034   22747-A 
深圳市 154988  46954-B 
深圳市 241602  73674-E 
深圳市 113840  35880-C 
深圳市 154534  44029-C 
深圳市 139536  43955-A 
深圳市 155694  48194-D 
深圳市 246797  75571-D 
深圳市 184941  56767-B 
深圳市 120854  38391-A 
深圳市 129511  41376-A 
深圳市 258181  76610-C 
深圳市 323411  81220-C 
深圳市 136023  37678-E 
深圳市 153158  45737-C 
深圳市 155273  47688-B 
深圳市 121068  38440-A 
深圳市 159022  47327-D 
深圳市 168719  52101-C 
深圳市 172190  52512-A 
深圳市 193371  56811-B 
深圳市 141629  44252-A 
深圳市 172873  53385-A 
深圳市 176157  54064-C 
深圳市 126003  34385-D 
深圳市 205292  60569-C 
深圳市 65097   20409-B 
深圳市 93979   29528-C 
深圳市 139538  43955-C 
深圳市 71035   22747-B 
深圳市 108423  34024-C 
深圳市 150334  44854-B 
深圳市 180436  55312-B 
深圳市 145254  42935-B 
深圳市 242948  70356-B 
深圳市 242949  70356-C 
深圳市 242950  70356-D 
深圳市 108444  34355-A 
深圳市 65096   20409-A 
深圳市 97023   30112-B 
深圳市 144550  43342-D 
深圳市 66538   20434-A 
深圳市 113984  35693-C 
深圳市 146765  46649-E 
深圳市 192757  58887-B 
深圳市 47159   14367-A 
深圳市 178591  55111-B 
深圳市 333719  114437-B    
深圳市 333721  114437-D    
深圳市 101484  27028-B 
深圳市 185189  55053-D 
深圳市 39725   11570-B 
深圳市 171117  52615-B 
深圳市 189313  55202-B 
深圳市 35589   10635-D 
深圳市 170852  52289-B 
深圳市 331234  116010-A    
深圳市 331237  116010-D    
深圳市 96219   30003-C 
深圳市 160141  49236-B 
深圳市 172595  53175-C 
深圳市 187949  55205-A 
深圳市 225854  69769-A 
深圳市 329258  115388-A    
深圳市 329259  115388-B    
深圳市 329262  115388-E    
深圳市 139296  43693-C 
深圳市 68297   20320-B 
深圳市 75886   23618-E 
深圳市 178432  55001-C 
深圳市 74266   23236-E 
深圳市 150236  46474-B 
深圳市 153860  47543-C 
深圳市 166723  50552-A 
深圳市 128065  40483-C 
深圳市 96542   30390-D 
深圳市 165201  50582-F 
深圳市 331609  116283-A    
深圳市 331613  116283-E    
深圳市 120870  37786-D 
深圳市 174574  53451-A 
深圳市 187951  55205-C 
深圳市 157256  46347-B 
深圳市 164409  50537-B 
深圳市 164410  50537-C 
深圳市 148902  44277-A 
深圳市 50635   15486-B 
深圳市 177225  54242-D 
深圳市 153437  47625-A 
深圳市 95472   29653-C 
深圳市 168717  52101-A 
深圳市 171867  52233-D 
深圳市 98529   30966-D 
深圳市 112229  35305-B 
深圳市 120855  38391-B 
深圳市 150699  46973-C 
深圳市 176359  48397-B 
深圳市 172172  53014-D 
深圳市 68328   20506-E 
深圳市 78661   24640-C 
深圳市 20628   6230-B  
深圳市 149387  44531-D 
深圳市 157258  46347-D 
深圳市 171866  52233-C 
深圳市 26207   8170-C  
深圳市 213415  66139-A 
深圳市 128544  40140-A 
深圳市 140400  42646-C 
深圳市 178768  54599-D 
深圳市 216317  66867-D 
深圳市 236649  59632-B 
深圳市 102454  31756-D 
深圳市 103662  32649-C 
武汉市 106508  32733-A 
武汉市 123636  38696-B 
武汉市 188936  56732-C 
武汉市 195510  59007-C 
武汉市 94897   29722-B 
武汉市 206321  61822-A 
武汉市 45461   14149-C 
武汉市 124550  39461-B 
武汉市 207573  64357-B 
武汉市 202954  62321-A 
武汉市 204051  61755-A 
武汉市 204746  61963-C 
武汉市 111783  33529-B 
武汉市 209097  63851-D 
武汉市 85130   26002-D 
武汉市 213366  65430-D 
武汉市 114504  35901-C 
武汉市 219498  67345-A 
武汉市 106484  33001-A 
武汉市 219196  67910-D 
武汉市 136085  42892-D 
武汉市 132932  41636-B 
武汉市 136893  43845-A 
武汉市 219624  66382-B 
